id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
6575,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/28/2020,May,5,qPCR,NULL,NULL,NULL,na,NA,lost swab,CRESTA_1D,Cresta,1,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,56,22,NA,Y,9.82E+14,NA,NULL,NULL,NA,NA
6090,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/27/2019,August,8,qPCR,NULL,NULL,NULL,na,NA,NA,Spanish Creek,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,67,42,NA,N,9.82E+14,NA,669402,4423884,NA,NA
5708,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/13/2019,June,6,qPCR,na,na,NULL,na,NA,missing swab,Cresta Reach site 1A,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,9.82E+14,NA,NULL,NULL,NA,NA
6091,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/27/2019,August,8,qPCR,NULL,NULL,NULL,na,NA,NA,Spanish Creek,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,47,15,NA,N,9.82E+14,NA,669449,4423955,NA,NA
6662,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/28/2020,May,5,qPCR,NULL,NULL,NULL,na,NA,lost swab,CRESTA_9AE,Cresta,1,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,69,32,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
SKS083,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,4/8/2015,1428451200,4,qPCR,1,NULL,163934.8438,9836090.628,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,36.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK10,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,137269.6,8236176,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,26,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS084,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,4/8/2015,1428451200,4,qPCR,1,NULL,136214.0723,8172844.338,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,41.6,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK12,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,100936.8,6056208,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,26,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK9,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,41867.2,2512032,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,29,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
