id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_none_1_dam_upstream_or_2_dam_or_reservoir_downstream,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_m_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
8502,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,5/31/1952,May,5,qPCR,NA,1,NULL,NA,NA,1 mile E of Blairsden,Middle Fork Feather?,0,Feather,Plumas,NFR,NA,1,East of Blairsden is Betterton Creek.  The Middle Fork Feather is west of the town.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26598,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,5/7/1956,May,5,qPCR,NA,1,NULL,NA,NA,"Big French Creek, 1/4 mi from Hwy 299",NA,0,Trinity,Trinity,NNC,1,NA,locations estimated based on descriptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26599,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,9/5/1961,September,9,qPCR,NA,1,NULL,NA,NA,Hogan Lake,Hogan,1,Salmon,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26600,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,11/4/1962,November,11,qPCR,NA,1,NULL,NA,NA,Clear Creek; 2 mi. E. Trinity Co. Line; along bank of creek,Clear,2,Sacramento,Shasta,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26610,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,6/24/1964,June,6,qPCR,NA,1,NULL,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26611,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,6/24/1964,June,6,qPCR,NA,1,NULL,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26612,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,6/24/1964,June,6,qPCR,NA,1,NULL,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26613,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,6/24/1964,June,6,qPCR,NA,1,NULL,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26614,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,6/24/1964,June,6,qPCR,NA,1,NULL,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26615,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,6/24/1964,June,6,qPCR,NA,1,NULL,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
26616,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,6/24/1964,June,6,qPCR,NA,1,NULL,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
91143,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,3/21/1967,March,3,qPCR,NA,1,NULL,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NULL,Trinity,Trinity,NNC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
91144,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,3/21/1967,March,3,qPCR,NA,1,NULL,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NULL,Trinity,Trinity,NNC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
91145,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,3/21/1967,March,3,qPCR,NA,1,NULL,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NULL,Trinity,Trinity,NNC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
91146,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,3/21/1967,March,3,qPCR,NA,1,NULL,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NULL,Trinity,Trinity,NNC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
91147,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,3/21/1967,March,3,qPCR,NA,1,NULL,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NULL,Trinity,Trinity,NNC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
138518,amb,contact,De Leon et al. 2017 EcoHealth,Rana boylii,Museum,3/21/1967,March,3,qPCR,NA,1,NULL,NA,NA,7.7 mi NW Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NULL,Trinity,Trinity,NNC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA
CAS10664,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,6/18/1951,June,6,histology,NA,1,NULL,NA,NA,"San Benito River, 9 mi N of Pinacles Post Office",San Benito,0,San Benito,San Benito,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658107,4055702,NA,NA
CAS10667,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,6/18/1951,June,6,histology,NA,1,NULL,NA,NA,"San Benito River, 9 mi N of Pinacles Post Office",San Benito,0,San Benito,San Benito,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658107,4055702,NA,NA
CAS10669,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,6/18/1951,June,6,histology,NA,1,NULL,NA,NA,"San Benito River, 9 mi N of Pinacles Post Office",San Benito,0,San Benito,San Benito,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658107,4055702,NA,NA
CAS11065,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,5/1/1905,n/a,n/a,histology,NA,1,NULL,NA,NA,"San Benito Rd, 7.5 mi S of Bitterwater Rd",Lewis Creek,0,Salinas,San Benito,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no month or day given,NA,NA,NA,674892,4034161,NA,NA
CAS13188,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,6/27/1906,June,6,histology,NA,1,NULL,NA,NA,"St. Helena, maybe York Ck?",St. Helena,n/a,Napa River,Napa,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546284,4262013,NA,NA
CAS13189,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,6/28/1906,June,6,histology,NA,1,NULL,NA,NA,"St. Helena, maybe York Ck?",St. Helena,n/a,Napa River,Napa,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546284,4262013,NA,NA
CAS13286,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,2/9/1907,February,2,histology,NA,1,NULL,NA,NA,Stanford Campus,Stanford,1,San Francisquito Creek,Santa Clara,WC,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573509,4142591,NA,NA
CAS145539,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,8/20/1956,August,8,histology,NA,1,NULL,NA,NA,"Forsythe Creek, Reeves Canyon",NA,0,Russian,Mendocino,NNC,NA,1,"Reeves Canyon is on Outlet Creek a trib to Eel River, Forsythe Creek is a trib to Russian River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482335,4344324,NA,NA
CAS1570,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/20/1905,n/a,n/a,histology,NA,1,NULL,NA,NA,n/a,San Francisco,n/a,n/a,San Francisco,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545307,4180276,NA,NA
CAS157107,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,8/25/1984,August,8,histology,NA,1,NULL,NA,NA,DelPuerto Creek,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640413,4141409,NA,NA
CAS157108,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,8/25/1984,August,8,histology,NA,1,NULL,NA,NA,DelPuerto Creek,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640413,4141409,NA,NA
CAS1584,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,1897-06-22,June,6,histology,NA,1,NULL,NA,NA,"Albion River, 2 mi below Comptche",Albion,0,Albion,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446103,4346028,NA,NA
CAS1586,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,1897-06-22,June,6,histology,NA,1,NULL,NA,NA,"Albion River, 2 mi below Comptche",Albion,0,Albion,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446103,4346028,NA,NA
