huc10,bd_positive,n
1710030901,0,7
1710031203,0,2
1801010104,0,3
1801010302,0,1
1801010304,0,1
1801010401,0,2
1801010401,1,1
1801010402,0,10
1801010405,0,2
1801010802,0,1
1801010804,0,4
1801010805,0,7
1801010808,0,4
1801010901,0,9
1801011002,0,1
1801011004,0,3
1801011007,1,1
1801011009,0,1
1801021002,0,1
1801021111,0,1
1801021203,0,6
1802011606,0,2
1802011606,1,1
1802012106,1,1
1802012108,1,2
1802012304,0,1
1802012307,0,1
1802012307,1,1
1802012504,0,1
1802012504,1,1
1802012506,1,1
1802012507,0,2
1802012507,1,6
1802012804,1,1
1802012806,0,1
1802012902,0,1
1802012903,0,6
1802012906,0,4
1802012907,0,1
1802015401,0,1
1802016201,0,2
1802016202,0,1
1802016203,0,2
1802016204,0,2
1802016205,0,1
1803000106,0,1
1803000205,0,8
1803000601,0,2
1803000705,0,2
1803001008,0,1
1803001206,0,2
1804000203,0,2
1804000203,1,8
1804000307,0,1
1804000612,0,6
1804000802,0,2
1804000803,0,6
1804000804,0,10
1804000805,0,22
1804000806,0,3
1804000906,0,1
1804000906,1,1
1804000910,0,1
1804001006,0,1
1804001302,0,1
1804001403,0,2
1805000202,0,3
1805000301,0,11
1805000301,1,1
1805000302,0,2
1805000304,0,3
1805000401,0,3
1805000401,1,1
1805000403,0,3
1805000403,1,1
1805000404,0,11
1805000404,1,1
1805000408,0,1
1805000409,0,3
1805000501,0,6
1805000505,0,9
1805000602,0,2
1806000203,0,1
1806000204,0,2
1806000205,0,15
1806000205,1,2
1806000207,0,3
1806000502,0,1
1806000509,0,1
1806000512,0,14
1806000513,0,3
1806000602,0,1
1806000603,0,6
1806000603,1,1
1806000604,0,4
1806000606,0,31
1806000607,0,5
1806001001,0,1
1806001002,0,1
1806001003,0,8
1806001004,0,1
1806001502,0,2
1806001502,1,1
1807010101,0,1
1807010203,0,2
1807010205,0,1
1807010206,0,12
1807010207,0,20
1807010207,1,1
1807010208,0,10
1807010208,1,1
1807010209,0,1
1807010602,0,9
1807010602,1,3
1807010603,0,31
1807010603,1,1
1807010606,0,5
1807010607,0,4
