sampleid,field_or_museum,date_captured,method_pcr_q_pcr_histology,bd_positive,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,sex_f_m_u,life_stage_a_j_m_t,svl_mm,weight_g,states,huc10,huc12,daylen_hr,capt_yr,capt_mon,noaa_clim_id,CLIMDIV,climdiv_name,pcpn_noaa,pdsi_noaa,phdi_noaa,pmdi_noaa,tmax_noaa,tmin_noaa,tmpc_noaa,spei12,spei24,areasqkm,areaacres,h12_name,hutype,humod,tohuc,NAME_HUC12,ECOREGION2013L3_1STCODE,STATE_MAJ_2013,N_INDEX_CDLNLCD11_PCT_WS,N_INDEX2_CDLNLCD11_PCT_WS,N_INDEX_CDLNLCD11_PCT_HAZ,N_INDEX2_CDLNLCD11_PCT_HAZ,DASYMETRIC_POPULATION_DEN_RZ,DASYMETRIC_POPULATION_DEN_WS,MINET_DEN,AG_HYDRIC_PCT_WS,DAM_STORAGE_RATIO,PCT_FOREST_REMAIN,PCT_WETLANDS_REMAINING,PCT_IMPERVIOUSNESS2011_MEAN_WS,ROAD_2015_STRM_X_DENS_WS,DAM_DENSITY_PER_KM_STRM,DITCH_DRAINAGE_WS_PCT,ROADS_ALL_DENSITY_2014_RZ,CROP_MH_URB_CDLNLCD11_PCT_RZ,NFHP15_HCI_LOCAL_WS,NRSA_AQUATIC_COND_MEAN,NRSA_AQUATIC_COND_OUTLET,STREAMLGTH_SUP_IMP_DIFF_PCTA,WBAREA_SUP_IMP_DIFF_PCTA,U_INDEX_CHG_2001_11_PCT_WS,U_INDEX2_CHG_2001_11_PCT_WS,U_INDEX_CHG_2001_11_PCT_RZ,U_INDEX2_CHG_2001_11_PCT_RZ,ICLUS_IC_DIFF_PCT,GAP_PROT_1_2_PCT_WS,AG_H2O_USE_05_WS,DOM_H2O_USE_MGD_2005_WS,IND_H2O_USE_MGD_WS,MEAN_WILDFIRE_RISK,HVH_WILDFIRE_RISK_PCT,elevation,elev_units,geomorph_name,comid
8502,Museum,5/31/1952,qPCR,0,NA,NA,NA,1 mile E of Blairsden,Middle Fork Feather?,0,Feather,Plumas,Feather,NA,NA,NA,NA,CA,1802012304,1.80201E+11,14.77931763,1952,5,402011952,402,SACRAMENTO DRNG.,1.17,1.42,1.42,0.51,73.1,45.1,59.1,1.525623322,1.511849403,136.67,33772.42,Frazier Creek-Middle Fork Feather River,S,NM,1.80201E+11,Frazier Creek-Middle Fork Feather River,5,CA,92.81307002,92.63593202,21.12024971,21.05900869,12.44,10.11,0,0,0.003390463,89.33228583,71.03534008,0.729,0.8341,0.011918951,0,2.22,0.047412402,4.5,47.24734612,27.33333333,-100,NA,0,0,0,0,0,0,0,0.147079,0.112917,3.37,38,1385.1,meters,Sierra Nevada,17694811
26598,Museum,5/7/1956,qPCR,0,NA,NA,NA,"Big French Creek, 1/4 mi from Hwy 299",NA,0,Trinity,Trinity,N. Coast,NA,NA,NA,NA,CA,1801021111,1.80102E+11,14.18166277,1956,5,401011956,401,NORTH COAST DRAINAGE,2.41,0.17,1.52,-0.06,66.5,42.6,54.6,1.796691775,0.915490568,99.98,24704.98,Big French Creek,S,NM,1.80102E+11,Big French Creek,78,CA,99.1114912,99.03677364,17.51811676,17.51811676,0,0.2,0,0,0,64.79124236,23.49955211,0.019,0.19,0,0,0.37,0,4.87,74.47110791,73.13333333,100,NA,0,0.06,0,0,0,78.18280022,0,0.001294,0.012235,3.49,51,350.54,meters,Klamath Mountains,17694811
26599,Museum,9/5/1961,qPCR,0,NA,NA,NA,Hogan Lake,Hogan,1,Salmon,Siskiyou,N. Coast,NA,NA,NA,NA,CA,1801021002,1.80102E+11,12.9925935,1961,9,401011961,401,NORTH COAST DRAINAGE,0.81,-0.01,0.78,0.54,75.1,46.7,60.9,0.335877687,-0.50303036,47.16,11654.33,North Russian Creek,S,NM,1.80102E+11,North Russian Creek,78,CA,97.85561661,96.98374542,21.17101648,21.09088828,0,0.02,0,0,0,90.61727342,25.67380788,0.032,0.7419,0,0,1.7,0,4.83,87.20498643,88.8,-100,-17.64,0,0,0,0,0,14.38619992,0,9.20E-05,0,4.21,68,1814.57,meters,Klamath Mountains,17694811
26600,Museum,11/4/1962,qPCR,0,NA,NA,NA,Clear Creek; 2 mi. E. Trinity Co. Line; along bank of creek,Clear,2,Sacramento,Shasta,N. Coast,NA,NA,NA,NA,CA,1802015401,1.80202E+11,10.35092982,1962,11,402011962,402,SACRAMENTO DRNG.,2.31,-0.82,1.6,0.5,58.3,37.8,48.1,0.154065326,-0.0883625,119.28,29474.29,Stacey Creek-Clear Creek,S,NM,1.80202E+11,Stacey Creek-Clear Creek,78,CA,98.88617224,98.87711673,16.19502551,16.19502551,0,0.04,0,0,0,92.64068267,44.38155878,0.039,0.5366,0,0,1.2,0,4.86,82.31770924,83.4,NA,NA,0,0,0,0,0.02,0,0,8.10E-04,0,4.19,74,948.57,meters,Klamath Mountains,17694811
26610,Museum,6/24/1964,qPCR,0,NA,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,N. Coast,NA,NA,NA,NA,"CA,OR",1710030901,1.71003E+11,15.23831737,1964,6,401011964,401,NORTH COAST DRAINAGE,1.31,-1.71,-1.71,-1.26,70.7,46.5,58.6,0.012226077,1.045662165,78.75,19459.98,Dutch Creek-Elliott Creek,S,NM,1.71003E+11,Dutch Creek-Elliott Creek,78,CA,100,99.99314231,14.64688604,14.64688604,0,0.06,0,0,0,98.02290951,NA,0,1.1049,0,0,2.18,0,4.96,81.35619281,76.76666667,NA,NA,0,0,0,0,0,82.9049004,0,5.48E-04,0,3.99,77,718.35,meters,Klamath Mountains,17694811
26611,Museum,6/24/1964,qPCR,0,NA,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,N. Coast,NA,NA,NA,NA,"CA,OR",1710030901,1.71003E+11,15.23831737,1964,6,401011964,401,NORTH COAST DRAINAGE,1.31,-1.71,-1.71,-1.26,70.7,46.5,58.6,0.012226077,1.045662165,78.75,19459.98,Dutch Creek-Elliott Creek,S,NM,1.71003E+11,Dutch Creek-Elliott Creek,78,CA,100,99.99314231,14.64688604,14.64688604,0,0.06,0,0,0,98.02290951,NA,0,1.1049,0,0,2.18,0,4.96,81.35619281,76.76666667,NA,NA,0,0,0,0,0,82.9049004,0,5.48E-04,0,3.99,77,718.35,meters,Klamath Mountains,17694811
26612,Museum,6/24/1964,qPCR,0,NA,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,N. Coast,NA,NA,NA,NA,"CA,OR",1710030901,1.71003E+11,15.23831737,1964,6,401011964,401,NORTH COAST DRAINAGE,1.31,-1.71,-1.71,-1.26,70.7,46.5,58.6,0.012226077,1.045662165,78.75,19459.98,Dutch Creek-Elliott Creek,S,NM,1.71003E+11,Dutch Creek-Elliott Creek,78,CA,100,99.99314231,14.64688604,14.64688604,0,0.06,0,0,0,98.02290951,NA,0,1.1049,0,0,2.18,0,4.96,81.35619281,76.76666667,NA,NA,0,0,0,0,0,82.9049004,0,5.48E-04,0,3.99,77,718.35,meters,Klamath Mountains,8286758
26613,Museum,6/24/1964,qPCR,0,NA,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,N. Coast,NA,NA,NA,NA,"CA,OR",1710030901,1.71003E+11,15.23831737,1964,6,401011964,401,NORTH COAST DRAINAGE,1.31,-1.71,-1.71,-1.26,70.7,46.5,58.6,0.012226077,1.045662165,78.75,19459.98,Dutch Creek-Elliott Creek,S,NM,1.71003E+11,Dutch Creek-Elliott Creek,78,CA,100,99.99314231,14.64688604,14.64688604,0,0.06,0,0,0,98.02290951,NA,0,1.1049,0,0,2.18,0,4.96,81.35619281,76.76666667,NA,NA,0,0,0,0,0,82.9049004,0,5.48E-04,0,3.99,77,718.35,meters,Klamath Mountains,17694811
26614,Museum,6/24/1964,qPCR,0,NA,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,N. Coast,NA,NA,NA,NA,"CA,OR",1710030901,1.71003E+11,15.23831737,1964,6,401011964,401,NORTH COAST DRAINAGE,1.31,-1.71,-1.71,-1.26,70.7,46.5,58.6,0.012226077,1.045662165,78.75,19459.98,Dutch Creek-Elliott Creek,S,NM,1.71003E+11,Dutch Creek-Elliott Creek,78,CA,100,99.99314231,14.64688604,14.64688604,0,0.06,0,0,0,98.02290951,NA,0,1.1049,0,0,2.18,0,4.96,81.35619281,76.76666667,NA,NA,0,0,0,0,0,82.9049004,0,5.48E-04,0,3.99,77,718.35,meters,Klamath Mountains,17694811
26615,Museum,6/24/1964,qPCR,0,NA,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,N. Coast,NA,NA,NA,NA,"CA,OR",1710030901,1.71003E+11,15.23831737,1964,6,401011964,401,NORTH COAST DRAINAGE,1.31,-1.71,-1.71,-1.26,70.7,46.5,58.6,0.012226077,1.045662165,78.75,19459.98,Dutch Creek-Elliott Creek,S,NM,1.71003E+11,Dutch Creek-Elliott Creek,78,CA,100,99.99314231,14.64688604,14.64688604,0,0.06,0,0,0,98.02290951,NA,0,1.1049,0,0,2.18,0,4.96,81.35619281,76.76666667,NA,NA,0,0,0,0,0,82.9049004,0,5.48E-04,0,3.99,77,718.35,meters,Klamath Mountains,17694811
