field_or_museum,huc10,bd_positive,n
Field,1710030901,0,9
Field,1710030901,1,1
Field,1710031106,0,20
Field,1801010103,0,18
Field,1801010103,1,1
Field,1801010201,0,12
Field,1801010201,1,35
Field,1801010601,0,262
Field,1801010601,1,142
Field,1801010603,0,3
Field,1801010603,1,1
Field,1801010604,0,1
Field,1801021112,0,2
Field,1802000310,0,11
Field,1802000310,1,6
Field,1802012106,0,47
Field,1802012106,1,9
Field,1802012108,0,9
Field,1802012108,1,2
Field,1802012208,0,137
Field,1802012208,1,104
Field,1802012306,0,1
Field,1802012306,1,1
Field,1802012504,0,1
Field,1802012504,1,3
Field,1802012508,0,4
Field,1802012601,0,6
Field,1802012601,1,11
Field,1802015401,0,7
Field,1802015401,1,3
Field,1802015503,0,6
Field,1802016205,0,23
Field,1802016205,1,6
Field,1803000906,0,111
Field,1803000906,1,8
Field,1803001206,0,11
Field,1804000906,0,1
Field,1804001204,0,11
Field,1804001204,1,2
Field,1804001403,0,5
Field,1804001403,1,3
Field,1805000301,0,117
Field,1805000301,1,127
Field,1805000401,0,14
Field,1805000401,1,5
Field,1805000406,0,112
Field,1805000406,1,96
Field,1805000501,1,2
Field,1806000205,0,98
Field,1806000205,1,27
Field,1806000506,0,7
Field,1806000506,1,1
Field,1806000603,0,6
Field,1806000603,1,16
Museum,1710030901,0,7
Museum,1710031203,0,2
Museum,1801010104,0,3
Museum,1801010302,0,1
Museum,1801010304,0,1
Museum,1801010401,0,2
Museum,1801010401,1,1
Museum,1801010402,0,10
Museum,1801010405,0,2
Museum,1801010802,0,1
Museum,1801010804,0,4
Museum,1801010805,0,7
Museum,1801010808,0,4
Museum,1801010901,0,9
Museum,1801011002,0,1
Museum,1801011004,0,3
Museum,1801011007,1,1
Museum,1801011009,0,1
Museum,1801021002,0,1
Museum,1801021111,0,1
Museum,1801021203,0,6
Museum,1802011606,0,2
Museum,1802011606,1,1
Museum,1802012106,1,1
Museum,1802012108,1,2
Museum,1802012304,0,1
Museum,1802012307,0,1
Museum,1802012307,1,1
Museum,1802012504,0,1
Museum,1802012504,1,1
Museum,1802012506,1,1
Museum,1802012507,0,2
Museum,1802012507,1,6
Museum,1802012804,1,1
Museum,1802012806,0,1
Museum,1802012902,0,1
Museum,1802012903,0,6
Museum,1802012906,0,4
Museum,1802012907,0,1
Museum,1802015401,0,1
Museum,1802016201,0,2
Museum,1802016202,0,1
Museum,1802016203,0,2
Museum,1802016204,0,2
Museum,1802016205,0,1
Museum,1803000106,0,1
Museum,1803000205,0,8
Museum,1803000601,0,2
Museum,1803000705,0,2
Museum,1803001008,0,1
Museum,1803001206,0,2
Museum,1804000203,0,2
Museum,1804000203,1,8
Museum,1804000307,0,1
Museum,1804000612,0,6
Museum,1804000802,0,2
Museum,1804000803,0,6
Museum,1804000804,0,10
Museum,1804000805,0,22
Museum,1804000806,0,3
Museum,1804000906,0,1
Museum,1804000906,1,1
Museum,1804000910,0,1
Museum,1804001006,0,1
Museum,1804001302,0,1
Museum,1804001403,0,2
Museum,1805000202,0,3
Museum,1805000301,0,11
Museum,1805000301,1,1
Museum,1805000302,0,2
Museum,1805000304,0,3
Museum,1805000401,0,3
Museum,1805000401,1,1
Museum,1805000403,0,3
Museum,1805000403,1,1
Museum,1805000404,0,11
Museum,1805000404,1,1
Museum,1805000408,0,1
Museum,1805000409,0,3
Museum,1805000501,0,6
Museum,1805000505,0,9
Museum,1805000602,0,2
Museum,1806000203,0,1
Museum,1806000204,0,2
Museum,1806000205,0,15
Museum,1806000205,1,2
Museum,1806000207,0,3
Museum,1806000502,0,1
Museum,1806000509,0,1
Museum,1806000512,0,14
Museum,1806000513,0,3
Museum,1806000602,0,1
Museum,1806000603,0,6
Museum,1806000603,1,1
Museum,1806000604,0,4
Museum,1806000606,0,31
Museum,1806000607,0,5
Museum,1806001001,0,1
Museum,1806001002,0,1
Museum,1806001003,0,8
Museum,1806001004,0,1
Museum,1806001502,0,2
Museum,1806001502,1,1
Museum,1807010101,0,1
Museum,1807010203,0,2
Museum,1807010205,0,1
Museum,1807010206,0,12
Museum,1807010207,0,20
Museum,1807010207,1,1
Museum,1807010208,0,10
Museum,1807010208,1,1
Museum,1807010209,0,1
Museum,1807010602,0,9
Museum,1807010602,1,3
Museum,1807010603,0,31
Museum,1807010603,1,1
Museum,1807010606,0,5
Museum,1807010607,0,4
